ID;Size;Model;y_obs;y_hat;Res
1;170.2295;1;100;94.40202288;5.597977116
1;148.2635;1;99.89;93.26090275;6.629097253
1;129.132;1;99.47;91.90711721;7.562882791
1;112.4695;1;98.69;90.30967014;8.380329859
1;97.957;1;97.41;88.43657075;8.973429251
1;85.317;1;95.55;86.25648462;9.293515376
1;74.308;1;93.05;83.74094162;9.309058381
1;64.7195;1;89.89;80.8670756;9.022924396
1;56.3685;1;86.09;77.62109014;8.468909862
1;49.095;1;81.73;74.00142191;7.728578086
1;42.76;1;76.93;70.02237525;6.907624753
1;37.2425;1;71.82;65.71652574;6.103474255
1;32.437;1;66.56;61.13553125;5.424468746
1;28.2515;1;61.29;56.34892412;4.941075877
1;24.606;1;56.13;51.44093311;4.689066886
1;21.431;1;51.18;46.50514939;4.674850607
1;18.6655;1;46.5;41.63653874;4.863461264
1;16.257;1;42.13;36.9260715;5.203928505
1;14.1595;1;38.07;32.4526831;5.617316901
1;12.3325;1;34.32;28.27796862;6.042031382
1;10.741;1;30.86;24.445347;6.414653004
1;9.355;1;27.68;20.98052458;6.69947542
1;8.148;1;24.75;17.89090608;6.859093922
1;7.0965;1;22.05;15.1683332;6.881666797
1;6.1805;1;19.55;12.79500047;6.754999525
1;5.383;1;17.24;10.74664947;6.493350525
1;4.6885;1;15.09;8.992640898;6.097359102
1;4.0835;1;13.08;7.500603761;5.579396239
1;3.5565;1;11.2;6.238988639;4.961011361
1;3.0975;1;9.44;5.177672802;4.262327198
1;2.698;1;7.79;4.289209467;3.500790533
1;2.35;1;6.25;3.54744527;2.70255473
1;2.0465;1;4.84;2.929264127;1.910735873
1;1.7825;1;3.57;2.416683475;1.153316525
1;1.5525;1;2.47;1.99185564;0.47814436
1;1.352;1;1.56;1.640149764;-0.080149764
1;1.1775;1;0.86;1.349861792;-0.489861792
1;1.0255;1;0.37;1.110337237;-0.740337237
1;0.8935;1;0.12;0.913470468;-0.793470468
1;0.778;1;0.03;0.750571294;-0.720571294
1;0.6775;1;0.03;0.616631342;-0.586631342
1;0.5905;1;0.03;0.507103859;-0.477103859
1;0.5145;1;0.03;0.4167508;-0.3867508
1;0.448;1;0.03;0.342134319;-0.312134319
1;0.39;1;0.03;0.280741926;-0.250741926
1;0.3395;1;0.03;0.23033164;-0.20033164
1;0.2955;1;0.03;0.188920217;-0.158920217
1;0.2575;1;0.03;0.155198707;-0.125198707
1;0.2245;1;0.03;0.127580721;-0.097580721
1;0.1955;1;0.03;0.104696827;-0.074696827
1;0.17;1;0.03;0.085736542;-0.055736542
1;0.148;1;0.03;0.070325627;-0.040325627
1;0.129;1;0.03;0.057781123;-0.027781123
1;0.1125;1;0.03;0.047509936;-0.017509936
1;0.098;1;0.03;0.03900095;-0.00900095
1;0.085;1;0.03;0.031817727;-0.001817727
1;0.074;1;0.03;0.026096044;0.003903956
1;0.0645;1;0.03;0.021439406;0.008560594
1;0.056;1;0.03;0.017515222;0.012484778
1;0.049;1;0.03;0.014469404;0.015530596
1;0.043;1;0.03;0.012003066;0.017996934
1;0.0375;1;0.03;0.009868594;0.020131406
1;0.0325;1;0.03;0.008041525;0.021958475
1;0.028;1;0.03;0.006497292;0.023502708
1;0.0245;1;0.03;0.005367339;0.024632661
1;0.0215;1;0.03;0.004452397;0.025547603
1;0.0185;1;0.03;0.003590957;0.026409043
1;0.016;1;0.03;0.002917394;0.027082606
1;0.014;1;0.03;0.002410011;0.027589989
1;0.012;1;0.03;0.001932991;0.028067009
1;0.0105;1;0.03;0.001596809;0.028403191
2;170.2295;1;100;94.40202288;5.597977116
2;148.2635;1;99.9;93.26090275;6.639097253
2;129.132;1;99.59;91.90711721;7.682882791
